Ano;Código do Município;Município;"Valor adicionado bruto da Agropecuária, 
a preços correntes
(R$ 1.000)";"Produto Interno Bruto, 
a preços correntes
(R$ 1.000)";Atividade com maior valor adicionado bruto;Atividade com segundo maior valor adicionado bruto;Atividade com terceiro maior valor adicionado bruto
2017;3146750;Palmópolis;5294.98;47116.21;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3146909;Papagaios;16253.90;250220.56;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3147006;Paracatu;598013.25;3509504.10;Demais serviços;Indústrias extrativas;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3147105;Pará de Minas;88497.40;2745667.37;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas
2017;3147204;Paraguaçu;60961.38;481616.63;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3147303;Paraisópolis;11116.52;578216.65;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
2017;3147402;Paraopeba;29339.83;565417.98;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3147501;Passabém;1832.41;19819.89;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3147600;Passa Quatro;69093.14;376240.91;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2017;3147709;Passa Tempo;14204.87;187769.23;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3147808;Passa Vinte;9509.51;32144.95;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3147907;Passos;159137.13;2387556.35;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3147956;Patis;3827.84;44516.81;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3148004;Patos de Minas;282540.34;4378909.45;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2017;3148103;Patrocínio;401293.21;2737823.64;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
2017;3148202;Patrocínio do Muriaé;3216.36;74361.19;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;3148301;Paula Cândido;18451.31;95272.88;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3148400;Paulistas;6158.96;43964.20;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3148509;Pavão;11869.50;69523.41;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3148608;Peçanha;43354.65;179174.08;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
2017;3148707;Pedra Azul;8100.75;273042.21;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
2017;3148756;Pedra Bonita;14258.16;62332.77;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2017;3148806;Pedra do Anta;19057.17;48692.08;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
2017;3148905;Pedra do Indaiá;15682.42;79388.46;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;3149002;Pedra Dourada;7581.15;34957.51;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3149101;Pedralva;21955.58;129792.59;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3149150;Pedras de Maria da Cruz;10992.78;84537.74;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3149200;Pedrinópolis;31402.63;106527.81;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
2017;3149309;Pedro Leopoldo;12865.65;1437510.45;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2017;3149408;Pedro Teixeira;2339.70;21377.44;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3149507;Pequeri;2974.29;42884.76;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2017;3149606;Pequi;15808.45;60365.90;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3149705;Perdigão;12475.33;214033.20;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3149804;Perdizes;296640.36;600359.10;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2017;3149903;Perdões;28354.52;478433.27;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
2017;3149952;Periquito;2578.23;72610.12;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2017;3150000;Pescador;3971.67;38630.92;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3150109;Piau;6668.83;46516.20;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços
2017;3150158;Piedade de Caratinga;19122.71;88778.56;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3150208;Piedade de Ponte Nova;10710.85;49993.64;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2017;3150307;Piedade do Rio Grande;21954.58;73775.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2017;3150406;Piedade dos Gerais;12048.25;62142.91;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
